               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.034462,             0.01129,            0.008033,             0.92613,             0.90162,             0.92752,             0.58118,            0.031432,           0.0036615,           0.0047655,            0.001486,            0.001486,            0.001486
                 131,            0.033031,            0.011349,           0.0089235,             0.93161,             0.90338,             0.92278,             0.58056,             0.03149,           0.0036454,           0.0044539,             0.00142,             0.00142,             0.00142
                 132,            0.033651,            0.011105,           0.0096846,              0.9393,             0.90629,             0.93454,             0.58239,            0.031542,           0.0036213,           0.0039745,            0.001354,            0.001354,            0.001354
                 133,            0.033893,            0.011328,            0.010215,             0.93969,             0.90983,             0.93175,             0.58355,            0.031478,           0.0036299,           0.0037303,            0.001288,            0.001288,            0.001288
                 134,            0.033583,            0.011464,           0.0092865,             0.93628,             0.90837,             0.93145,             0.58094,            0.031582,           0.0036517,            0.003564,            0.001222,            0.001222,            0.001222
                 135,            0.034211,            0.011103,           0.0097687,              0.9249,             0.91531,             0.93081,             0.56741,            0.032036,           0.0036519,           0.0033887,            0.001156,            0.001156,            0.001156
                 136,            0.032964,            0.011345,           0.0081775,             0.93015,             0.92314,             0.93697,             0.58706,            0.031222,            0.003641,           0.0035345,             0.00109,             0.00109,             0.00109
                 137,            0.033162,            0.011018,           0.0092824,              0.9348,             0.92031,             0.93748,             0.58993,            0.030987,           0.0036465,           0.0035799,            0.001024,            0.001024,            0.001024
                 138,            0.031895,            0.011255,           0.0085214,             0.93035,             0.92303,             0.93985,             0.58766,            0.031201,           0.0036313,           0.0035151,            0.000958,            0.000958,            0.000958
                 139,            0.032353,            0.011097,           0.0078291,              0.9363,             0.91795,             0.93954,             0.59114,            0.030813,           0.0036179,           0.0034079,            0.000892,            0.000892,            0.000892
                 140,            0.032549,            0.010873,           0.0078424,             0.92723,             0.90934,             0.93264,             0.59245,            0.030903,           0.0035989,           0.0033188,            0.000826,            0.000826,            0.000826
                 141,            0.031028,            0.010993,           0.0074993,             0.93501,             0.91507,             0.93856,             0.60071,            0.030578,           0.0035959,           0.0032567,             0.00076,             0.00076,             0.00076
                 142,            0.031965,            0.010993,           0.0086953,             0.93154,             0.91507,             0.93896,               0.609,            0.030441,           0.0035871,           0.0032591,            0.000694,            0.000694,            0.000694
                 143,            0.031819,            0.011241,            0.007311,             0.92832,             0.91618,             0.94023,             0.60891,            0.030348,           0.0035842,           0.0034561,            0.000628,            0.000628,            0.000628
                 144,            0.031822,            0.010956,           0.0091202,             0.92531,             0.90705,             0.93489,             0.60425,            0.030379,           0.0035824,            0.003585,            0.000562,            0.000562,            0.000562
                 145,            0.032289,            0.011006,            0.007806,             0.93014,             0.91545,             0.93826,             0.60514,            0.030416,           0.0035767,           0.0035735,            0.000496,            0.000496,            0.000496
                 146,            0.031857,            0.011026,           0.0087536,             0.92737,              0.9155,             0.94063,             0.60454,            0.030458,           0.0035855,           0.0034879,             0.00043,             0.00043,             0.00043
                 147,            0.032793,            0.011075,           0.0086536,             0.92988,              0.9132,             0.93888,             0.60406,            0.030427,           0.0035819,           0.0034077,            0.000364,            0.000364,            0.000364
                 148,            0.031856,            0.011017,           0.0074621,             0.92938,             0.91472,             0.93823,             0.60388,             0.03037,           0.0035805,           0.0033766,            0.000298,            0.000298,            0.000298
                 149,            0.031562,            0.011075,           0.0078883,             0.93245,             0.91218,             0.94002,             0.60268,            0.030358,            0.003584,             0.00344,            0.000232,            0.000232,            0.000232
